T	n	mu

2.000e+001	 6.027e+017	 4.543e+001

2.501e+001	 6.044e+017	 4.560e+001

2.992e+001	 6.088e+017	 4.561e+001

3.501e+001	 6.086e+017	 4.592e+001

4.001e+001	 6.026e+017	 4.679e+001

4.501e+001	 5.810e+017	 4.911e+001

5.001e+001	 5.362e+017	 5.421e+001

5.264e+001	 5.066e+017	 5.807e+001

5.560e+001	 4.672e+017	 6.405e+001

5.884e+001	 4.243e+017	 7.209e+001

6.249e+001	 3.619e+017	 8.802e+001

6.668e+001	 3.208e+017	 1.032e+002

7.148e+001	 2.778e+017	 1.271e+002

7.693e+001	 2.465e+017	 1.562e+002

8.331e+001	 2.302e+017	 1.837e+002

9.093e+001	 2.240e+017	 2.129e+002

9.899e+001	 2.288e+017	 2.363e+002

1.111e+002	 2.457e+017	 2.547e+002

1.250e+002	 2.649e+017	 2.603e+002

1.429e+002	 3.145e+017	 2.566e+002

1.530e+002	 3.469e+017	 2.479e+002

1.670e+002	 3.845e+017	 2.346e+002

1.750e+002	 4.088e+017	 2.249e+002

1.830e+002	 4.296e+017	 2.165e+002

1.900e+002	 4.493e+017	 2.083e+002

2.000e+002	 4.757e+017	 1.973e+002

2.250e+002	 5.352e+017	 1.733e+002

2.500e+002	 5.857e+017	 1.541e+002

2.500e+002	 5.959e+017	 1.515e+002

2.751e+002	 6.489e+017	 1.334e+002

2.901e+002	 6.800e+017	 1.234e+002

3.000e+002	 7.002e+017	 1.174e+002

3.101e+002	 7.203e+017	 1.117e+002

3.251e+002	 7.479e+017	 1.041e+002

