T	mu	T2	n

20	343.95	5.0000000e+002	9.4656614e+022

20	343.95	3.3333333e+002	8.7427912e+022

25	475.35	2.5000000e+002	7.7289982e+022

25	475.35	2.0000000e+002	6.5637070e+022

28	560.25	1.6666667e+002	5.4037254e+022

28	560.25	1.4285714e+002	4.3542485e+022

33.1	675.90	1.2500000e+002	3.4602727e+022

36.4	862.90	1.1111111e+002	2.7265236e+022

40.1	964.50	1.0000000e+002	2.1377880e+022

40	997.91	9.0909091e+001	1.6718389e+022

45.1	1072.61	8.3333333e+001	1.3060482e+022

50	1128.29	7.6923077e+001	1.0201981e+022

55	1123.91	7.1428571e+001	7.9733629e+021

60	1098.30	6.6666667e+001	6.2373402e+021

64.1	1074.61	6.2500000e+001	4.8849451e+021

68.9	1034.09	5.8823529e+001	3.8307050e+021

75.1	1019.91	5.5555556e+001	3.0080345e+021

83	895.59	5.2631579e+001	2.3652575e+021

83.1	948.09	5.0000000e+001	1.8623398e+021

91	905.19	4.7619048e+001	1.4682813e+021

91	892.40	4.5454545e+001	1.1590689e+021

100	812.79	4.3478261e+001	9.1608479e+020

111	731.21	4.1666667e+001	7.2487628e+020

125.1	725.30	4.0000000e+001	5.7420736e+020

124.9	713.71	3.8461538e+001	4.5532905e+020

143.3	624.90	3.7037037e+001	3.6141772e+020

143	616.69	3.5714286e+001	2.8714264e+020

154.1	568.91	3.4482759e+001	2.2833258e+020

154	558.89	3.3333333e+001	1.8171844e+020

166.9	462.80	3.2258065e+001	1.4473423e+020

167.2	496.70	3.1250000e+001	1.1536286e+020

182.2	477.71	3.0303030e+001	9.2016547e+019

181.8	431.70	2.9411765e+001	7.3443724e+019

200.1	388.50	2.8571429e+001	5.8656630e+019

200.1	371.40	2.7777778e+001	4.6874754e+019

222	316.90	2.7027027e+001	3.7480650e+019

222.3	304.00	2.6315789e+001	2.9985350e+019

250.3	253.80	2.5641026e+001	2.4001230e+019

250	243.40	2.5000000e+001	1.9220712e+019

275.2	225.40	2.4390244e+001	1.5399514e+019

274.9	204.90	2.3809524e+001	1.2343454e+019

289.6	169.80	2.3255814e+001	9.8980529e+018

290	180.70	2.2727273e+001	7.9403197e+018

299.6	155.90	2.2222222e+001	6.3722624e+018

300.4	164.70	2.1739130e+001	5.1157524e+018

310.1	176.70	2.1276596e+001	4.1084577e+018

310	156.20	2.0833333e+001	3.3006173e+018

324.8	187.40	2.0408163e+001	2.6524828e+018

325.7	133.60	2.0000000e+001	2.1322857e+018

325.1	147.00		

325.2	146.20		

