v-sweep;I(MQ1:d);
0;0;
0.01;3.60699e-10;
0.02;3.60711e-10;
0.03;3.60722e-10;
0.04;3.60733e-10;
0.05;3.60744e-10;
0.06;3.60755e-10;
0.07;3.60765e-10;
0.08;3.60775e-10;
0.09;3.60785e-10;
0.1;3.60795e-10;
0.11;3.60805e-10;
0.12;3.60815e-10;
0.13;3.60826e-10;
0.14;3.60836e-10;
0.15;3.60846e-10;
0.16;3.60856e-10;
0.17;3.60866e-10;
0.18;3.60876e-10;
0.19;3.60886e-10;
0.2;3.60896e-10;
0.21;3.60906e-10;
0.22;3.60916e-10;
0.23;3.60926e-10;
0.24;3.60936e-10;
0.25;3.60946e-10;
0.26;3.60956e-10;
0.27;3.60966e-10;
0.28;3.60976e-10;
0.29;3.60986e-10;
0.3;3.60996e-10;
0.31;3.61006e-10;
0.32;3.61016e-10;
0.33;3.61026e-10;
0.34;3.61036e-10;
0.35;3.61046e-10;
0.36;3.61056e-10;
0.37;3.61066e-10;
0.38;3.61076e-10;
0.39;3.61086e-10;
0.4;3.61096e-10;
0.41;3.61106e-10;
0.42;3.61116e-10;
0.43;3.61126e-10;
0.44;3.61136e-10;
0.45;3.61146e-10;
0.46;3.61156e-10;
0.47;3.61166e-10;
0.48;3.61176e-10;
0.49;3.61186e-10;
0.5;3.61196e-10;
0.51;3.61206e-10;
0.52;3.61216e-10;
0.53;3.61226e-10;
0.54;3.61236e-10;
0.55;3.61246e-10;
0.56;3.61256e-10;
0.57;3.61266e-10;
0.58;3.61276e-10;
0.59;3.61286e-10;
0.6;3.61296e-10;
0.61;3.61306e-10;
0.62;3.61316e-10;
0.63;3.61326e-10;
0.64;3.61336e-10;
0.65;3.61346e-10;
0.66;3.61356e-10;
0.67;3.61366e-10;
0.68;3.61376e-10;
0.69;3.61386e-10;
0.7;3.61396e-10;
0.71;3.61406e-10;
0.72;3.61416e-10;
0.73;3.61426e-10;
0.74;3.61436e-10;
0.75;3.61446e-10;
0.76;3.61456e-10;
0.77;3.61466e-10;
0.78;3.61476e-10;
0.79;3.61486e-10;
0.8;3.61496e-10;
0.81;3.61506e-10;
0.82;3.61516e-10;
0.83;3.61526e-10;
0.84;3.61536e-10;
0.85;3.61546e-10;
0.86;3.61556e-10;
0.87;3.61566e-10;
0.88;3.61576e-10;
0.89;3.61586e-10;
0.9;3.61596e-10;
0.91;3.61606e-10;
0.92;3.61616e-10;
0.93;3.61626e-10;
0.94;3.61636e-10;
0.95;3.61646e-10;
0.96;3.61656e-10;
0.97;3.61666e-10;
0.98;3.61676e-10;
0.99;3.61686e-10;
1;3.61697e-10;
1.01;3.61707e-10;
1.02;3.61717e-10;
1.03;3.61727e-10;
1.04;3.61737e-10;
1.05;3.61747e-10;
1.06;3.61757e-10;
1.07;3.61767e-10;
1.08;3.61777e-10;
1.09;3.61787e-10;
1.1;3.61797e-10;
1.11;3.61807e-10;
1.12;3.61817e-10;
1.13;3.61827e-10;
1.14;3.61837e-10;
1.15;3.61847e-10;
1.16;3.61857e-10;
1.17;3.61867e-10;
1.18;3.61877e-10;
1.19;3.61887e-10;
1.2;3.61897e-10;
1.21;3.61907e-10;
1.22;3.61917e-10;
1.23;3.61927e-10;
1.24;3.61937e-10;
1.25;3.61947e-10;
1.26;3.61957e-10;
1.27;3.61967e-10;
1.28;3.61977e-10;
1.29;3.61987e-10;
1.3;3.61997e-10;
1.31;3.62007e-10;
1.32;3.62017e-10;
1.33;3.62027e-10;
1.34;3.62037e-10;
1.35;3.62047e-10;
1.36;3.62057e-10;
1.37;3.62067e-10;
1.38;3.62077e-10;
1.39;3.62087e-10;
1.4;3.62097e-10;
1.41;3.62107e-10;
1.42;3.62117e-10;
1.43;3.62127e-10;
1.44;3.62137e-10;
1.45;3.62147e-10;
1.46;3.62157e-10;
1.47;3.62167e-10;
1.48;3.62177e-10;
1.49;3.62187e-10;
1.5;3.62197e-10;
1.51;3.62207e-10;
1.52;3.62217e-10;
1.53;3.62227e-10;
1.54;3.62237e-10;
1.55;3.62247e-10;
1.56;3.62257e-10;
1.57;3.62267e-10;
1.58;3.62277e-10;
1.59;3.62287e-10;
1.6;3.62297e-10;
1.61;3.62307e-10;
1.62;3.62317e-10;
1.63;3.62327e-10;
1.64;3.62337e-10;
1.65;3.62347e-10;
1.66;3.62357e-10;
1.67;3.62367e-10;
1.68;3.62377e-10;
1.69;3.62387e-10;
1.7;3.62397e-10;
1.71;3.62407e-10;
