v-sweep;I(MQ1:d);
0;2.003e-11;
0.01;2.003e-11;
0.02;2.003e-11;
0.03;2.003e-11;
0.04;2.003e-11;
0.05;2.003e-11;
0.06;2.003e-11;
0.07;2.003e-11;
0.08;2.003e-11;
0.09;2.003e-11;
0.1;2.003e-11;
0.11;2.003e-11;
0.12;2.003e-11;
0.13;2.003e-11;
0.14;2.003e-11;
0.15;2.003e-11;
0.16;2.003e-11;
0.17;2.003e-11;
0.18;2.003e-11;
0.19;2.003e-11;
0.2;2.003e-11;
0.21;2.003e-11;
0.22;2.003e-11;
0.23;2.003e-11;
0.24;2.003e-11;
0.25;2.003e-11;
0.26;2.003e-11;
0.27;2.003e-11;
0.28;2.003e-11;
0.29;2.003e-11;
0.3;2.003e-11;
0.31;2.003e-11;
0.32;2.003e-11;
0.33;2.003e-11;
0.34;2.003e-11;
0.35;2.003e-11;
0.36;2.003e-11;
0.37;2.003e-11;
0.38;2.003e-11;
0.39;2.003e-11;
0.4;2.003e-11;
0.41;2.003e-11;
0.42;2.003e-11;
0.43;2.003e-11;
0.44;2.003e-11;
0.45;2.003e-11;
0.46;2.003e-11;
0.47;2.003e-11;
0.48;2.003e-11;
0.49;2.003e-11;
0.5;2.003e-11;
0.51;2.003e-11;
0.52;2.003e-11;
0.53;2.003e-11;
0.54;2.003e-11;
0.55;2.003e-11;
0.56;2.003e-11;
0.57;2.003e-11;
0.58;2.003e-11;
0.59;2.003e-11;
0.6;2.003e-11;
0.61;2.003e-11;
0.62;2.003e-11;
0.63;2.003e-11;
0.64;2.003e-11;
0.65;2.003e-11;
0.66;2.003e-11;
0.67;2.003e-11;
0.68;2.003e-11;
0.69;2.003e-11;
0.7;2.003e-11;
0.71;2.003e-11;
0.72;2.003e-11;
0.73;2.003e-11;
0.74;2.003e-11;
0.75;2.003e-11;
0.76;2.003e-11;
0.77;2.003e-11;
0.78;2.003e-11;
0.79;2.003e-11;
0.8;2.003e-11;
0.81;2.003e-11;
0.82;2.003e-11;
0.83;2.003e-11;
0.84;2.003e-11;
0.85;2.003e-11;
0.86;2.003e-11;
0.87;2.003e-11;
0.88;2.003e-11;
0.89;2.003e-11;
0.9;2.003e-11;
0.91;2.003e-11;
0.92;2.003e-11;
0.93;2.003e-11;
0.94;2.003e-11;
0.95;2.003e-11;
0.96;2.003e-11;
0.97;2.003e-11;
0.98;2.003e-11;
0.99;2.003e-11;
1;2.003e-11;
1.01;2.003e-11;
1.02;2.003e-11;
1.03;2.003e-11;
1.04;2.003e-11;
1.05;2.003e-11;
1.06;2.003e-11;
1.07;2.003e-11;
1.08;2.003e-11;
1.09;2.003e-11;
1.1;2.003e-11;
1.11;2.003e-11;
1.12;2.003e-11;
1.13;2.003e-11;
1.14;2.003e-11;
1.15;2.003e-11;
1.16;2.003e-11;
1.17;2.003e-11;
1.18;2.003e-11;
1.19;2.003e-11;
1.2;2.003e-11;
1.21;2.003e-11;
1.22;2.00301e-11;
1.23;2.00301e-11;
1.24;2.00301e-11;
