photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: Lampe_Spektrum_Anfang
File Name: __pc_Lampe_Spektrum_Anfang_04_08_2026_10_18_18.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 16.710   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     2.386580e-04     -2.034     
630.000     1967.937     2.917070e-04     -1.596     
660.000     1878.485     2.944490e-04     -2.658     
690.000     1796.812     4.119890e-04     -1.110     
720.000     1721.944     4.825610e-04     -2.208     
750.000     1653.067     5.568300e-04     -1.866     
780.000     1589.487     6.245410e-04     -1.464     
810.000     1530.617     6.842650e-04     -1.656     
840.000     1475.952     7.332600e-04     -2.094     
870.000     1425.057     6.601850e-04     -1.536     
900.000     1377.556     6.903450e-04     -2.730     
930.000     1333.118     8.835830e-04     -2.310     
960.000     1291.458     9.256640e-04     -2.280     
990.000     1252.323     9.510550e-04     -1.884     
1020.000     1215.490     9.748970e-04     -2.328     
1050.000     1180.762     9.911130e-04     -2.118     
1080.000     1147.963     1.009590e-03     -2.616     
1110.000     1116.937     1.073370e-03     -2.784     
1140.000     1087.544     1.152280e-03     -2.928     
1170.000     1059.658     1.204500e-03     -2.736     
1200.000     1033.167     1.127490e-03     -2.796     
1230.000     1007.967     9.722750e-04     -2.574     
1260.000     983.968     8.225480e-04     -1.854     
1290.000     961.085     6.923710e-04     -2.538     
1320.000     939.242     5.986730e-04     -1.500     
1350.000     918.370     5.154650e-04     -2.502     
1380.000     898.406     4.334470e-04     -2.094     
1410.000     879.291     3.646630e-04     -2.274     
1440.000     860.972     3.256820e-04     -2.982     
1470.000     843.401     2.963560e-04     -2.538     
1500.000     826.533     2.871770e-04     -2.100     
1530.000     810.327     2.801440e-04     -3.138     
1560.000     794.744     2.827660e-04     -2.742     
1590.000     779.748     2.799050e-04     -2.418     
1620.000     765.309     2.789520e-04     -2.532     
1650.000     751.394     2.759710e-04     -3.048     
1680.000     737.976     2.658390e-04     -2.916     
1710.000     725.029     2.582090e-04     -3.522     
1740.000     712.529     2.489110e-04     -2.718     
1770.000     700.452     2.408040e-04     -3.000     
1800.000     688.778     2.278100e-04     -2.802     
1830.000     677.486     2.185120e-04     -2.814     
1860.000     666.559     2.094520e-04     -2.262     
1890.000     655.979     1.977690e-04     -3.420     
1920.000     645.729     1.852520e-04     -2.700     
1950.000     635.795     1.751190e-04     -2.532     
1980.000     626.162     1.652250e-04     -4.236     
2010.000     616.816     1.535420e-04     -3.462     
2040.000     607.745     1.494890e-04     -2.706     
2070.000     598.937     1.369720e-04     -2.160     
2100.000     590.381     1.261240e-04     -3.138     
2130.000     582.066     1.161700e-04     -2.730     
2160.000     573.981     1.080040e-04     -3.678     
2190.000     566.119     1.003150e-04     -4.194     
2220.000     558.468     9.214920e-05     -3.918     
2250.000     551.022     8.344700e-05     -1.074     
2280.000     543.772     7.534070e-05     -3.498     
2310.000     536.710     6.952930e-05     -2.292     
2340.000     529.829     6.282380e-05     -1.626     
2370.000     523.122     5.733990e-05     -3.948     
2400.000     516.583     5.197550e-05     -3.474     
2430.000     510.206     5.015010e-05     -1.806     
2460.000     503.984     4.357120e-05     -5.910     
2490.000     497.912     4.134350e-05     -4.602     
2520.000     491.984     3.597160e-05     -4.014     
2550.000     486.196     3.491370e-05     -4.542     
2580.000     480.543     3.030160e-05     -1.500     
2610.000     475.019     2.609200e-05     -8.298     
2640.000     469.621     2.287340e-05     -5.532     
2670.000     464.345     2.240400e-05     -8.850     
2700.000     459.185     2.113740e-05     4.782     
2730.000     454.139     1.779210e-05     -11.826     
2760.000     449.203     1.420830e-05     -6.384     
2790.000     444.373     1.505770e-05     9.312     
2820.000     439.645     1.393260e-05     -8.958     
2850.000     435.018     1.034890e-05     0.312     
2880.000     430.486     1.831740e-05     16.500     
2910.000     426.048     1.125600e-05     6.096     
2940.000     421.701     8.622240e-06     8.502     
2970.000     417.441     6.161660e-06     -13.866     
3000.000     413.267     6.776330e-06     -32.376     
3030.000     409.175     0.000000e+00     0.000     
