photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: Lampe_Spektrum_Nachher
File Name: __pc_Lampe_Spektrum_Nachher_04_08_2026_13_33_28.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 16.546   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     2.783560e-04     0.426     
630.000     1967.937     3.408210e-04     0.930     
660.000     1878.485     2.900980e-04     -0.090     
690.000     1796.812     4.819650e-04     0.792     
720.000     1721.944     5.645790e-04     1.140     
750.000     1653.067     6.418860e-04     0.966     
780.000     1589.487     7.213390e-04     0.798     
810.000     1530.617     7.939380e-04     0.576     
840.000     1475.952     8.455550e-04     0.156     
870.000     1425.057     7.931030e-04     0.606     
900.000     1377.556     7.584130e-04     0.126     
930.000     1333.118     1.022820e-03     -0.120     
960.000     1291.458     1.068840e-03     0.258     
990.000     1252.323     1.091490e-03     0.462     
1020.000     1215.490     1.122720e-03     0.294     
1050.000     1180.762     1.137740e-03     -0.324     
1080.000     1147.963     1.135600e-03     -0.234     
1110.000     1116.937     1.158960e-03     -0.594     
1140.000     1087.544     1.184950e-03     -0.624     
1170.000     1059.658     1.183760e-03     -0.192     
1200.000     1033.167     1.127250e-03     -0.390     
1230.000     1007.967     1.018050e-03     -0.234     
1260.000     983.968     8.986030e-04     -0.594     
1290.000     961.085     7.817780e-04     -0.036     
1320.000     939.242     6.864110e-04     -0.696     
1350.000     918.370     5.979580e-04     -0.624     
1380.000     898.406     5.111730e-04     -0.954     
1410.000     879.291     4.336850e-04     -0.240     
1440.000     860.972     3.801600e-04     -0.612     
1470.000     843.401     3.465430e-04     -1.056     
1500.000     826.533     3.254430e-04     -1.104     
1530.000     810.327     3.242510e-04     -1.710     
1560.000     794.744     3.261580e-04     -1.020     
1590.000     779.748     3.234170e-04     -0.924     
1620.000     765.309     3.165030e-04     -1.836     
1650.000     751.394     3.138800e-04     -0.948     
1680.000     737.976     3.100650e-04     -1.110     
1710.000     725.029     3.029130e-04     -0.996     
1740.000     712.529     2.875350e-04     -1.446     
1770.000     700.452     2.731700e-04     -1.338     
1800.000     688.778     2.630970e-04     -0.852     
1830.000     677.486     2.526060e-04     -1.482     
1860.000     666.559     2.422940e-04     -0.972     
1890.000     655.979     2.305520e-04     -1.398     
1920.000     645.729     2.162470e-04     -1.128     
1950.000     635.795     2.035510e-04     -0.648     
1980.000     626.162     1.899010e-04     -1.116     
2010.000     616.816     1.772060e-04     -1.134     
2040.000     607.745     1.678480e-04     -1.128     
2070.000     598.937     1.525890e-04     -1.254     
2100.000     590.381     1.443040e-04     -1.404     
2130.000     582.066     1.305350e-04     -1.404     
2160.000     573.981     1.230850e-04     -0.744     
2190.000     566.119     1.157530e-04     -1.632     
2220.000     558.468     1.039210e-04     -3.018     
2250.000     551.022     9.810970e-05     -1.236     
2280.000     543.772     9.086770e-05     -2.322     
2310.000     536.710     8.297010e-05     -4.098     
2340.000     529.829     7.337380e-05     -2.538     
2370.000     523.122     7.045320e-05     0.138     
2400.000     516.583     6.142310e-05     -0.636     
2430.000     510.206     5.659480e-05     0.102     
2460.000     503.984     5.152840e-05     -2.652     
2490.000     497.912     4.163410e-05     -4.224     
2520.000     491.984     3.823660e-05     -1.794     
2550.000     486.196     4.023340e-05     -1.140     
2580.000     480.543     3.577790e-05     -1.152     
2610.000     475.019     2.925850e-05     -2.844     
2640.000     469.621     2.945970e-05     -0.714     
2670.000     464.345     2.548860e-05     -8.994     
2700.000     459.185     2.145780e-05     -1.302     
2730.000     454.139     2.224760e-05     -0.342     
2760.000     449.203     1.549730e-05     -1.086     
2790.000     444.373     1.521410e-05     0.450     
2820.000     439.645     1.134730e-05     -29.928     
2850.000     435.018     1.241650e-05     -6.768     
2880.000     430.486     6.672020e-06     3.810     
2910.000     426.048     9.015260e-06     -17.670     
2940.000     421.701     9.037610e-06     3.276     
2970.000     417.441     8.836450e-06     -16.002     
3000.000     413.267     1.622380e-05     13.026     
3030.000     409.175     0.000000e+00     0.000     
