photo current measurement     DLTS (c) R.Pickenhain  version 6.0 /500ns/ccs/pc/W-laser [2011-2021]
Laser Betriebszeit: 0 s

Substanz: _     Sample: D5
File Name: __pc_D5_04_08_2026_12_51_06.txt

Area: 1.00e+00  Epsilon: 1.000
temperature [K]: 0.00   slit [mm]: 0.00
chopper frequence: 332.253   Prisma:  Si68
E begin [meV]= 600.00   E end [meV]= 3000.00
dE [meV]= 30.00  dt [s]= 3.00
Maximum: False   gain:

Comments: 

E[meV]   lambda[nm]   photocurrent[A]   Theta[degree]    
600.000     2066.333     1.634830e-10     -0.012     
630.000     1967.937     1.624030e-10     0.048     
660.000     1878.485     1.606970e-10     0.156     
690.000     1796.812     1.608110e-10     0.414     
720.000     1721.944     1.594470e-10     0.804     
750.000     1653.067     1.574000e-10     0.804     
780.000     1589.487     1.547860e-10     1.074     
810.000     1530.617     1.491010e-10     1.308     
840.000     1475.952     1.459750e-10     1.716     
870.000     1425.057     1.419960e-10     1.980     
900.000     1377.556     1.245450e-10     6.024     
930.000     1333.118     1.334120e-10     2.808     
960.000     1291.458     1.277850e-10     3.378     
990.000     1252.323     1.200540e-10     3.930     
1020.000     1215.490     1.059570e-10     4.728     
1050.000     1180.762     1.728050e-11     34.182     
1080.000     1147.963     3.593660e-10     179.532     
1110.000     1116.937     1.030120e-09     -179.214     
1140.000     1087.544     2.027280e-09     -178.410     
1170.000     1059.658     3.675740e-09     -177.618     
1200.000     1033.167     5.679820e-09     -176.796     
1230.000     1007.967     6.764850e-09     -176.256     
1260.000     983.968     6.876720e-09     -175.836     
1290.000     961.085     6.360120e-09     -175.572     
1320.000     939.242     5.641620e-09     -175.362     
1350.000     918.370     4.850360e-09     -175.176     
1380.000     898.406     4.060920e-09     -175.056     
1410.000     879.291     3.358780e-09     -175.002     
1440.000     860.972     2.847640e-09     -174.990     
1470.000     843.401     2.521130e-09     -174.996     
1500.000     826.533     2.337420e-09     -174.996     
1530.000     810.327     2.227370e-09     -174.954     
1560.000     794.744     2.126410e-09     -174.876     
1590.000     779.748     2.011820e-09     -174.810     
1620.000     765.309     1.881760e-09     -174.738     
1650.000     751.394     1.738050e-09     -174.654     
1680.000     737.976     1.595260e-09     -174.630     
1710.000     725.029     1.459750e-09     -174.552     
1740.000     712.529     1.328780e-09     -174.516     
1770.000     700.452     1.205540e-09     -174.462     
1800.000     688.778     1.095040e-09     -174.432     
1830.000     677.486     9.931750e-10     -174.378     
1860.000     666.559     9.022220e-10     -174.300     
1890.000     655.979     8.149110e-10     -174.276     
1920.000     645.729     7.312370e-10     -174.204     
1950.000     635.795     6.541580e-10     -174.120     
1980.000     626.162     5.813980e-10     -174.012     
2010.000     616.816     5.129590e-10     -173.940     
2040.000     607.745     4.446310e-10     -174.492     
2070.000     598.937     3.807390e-10     -173.586     
2100.000     590.381     3.185520e-10     -173.268     
2130.000     582.066     2.600040e-10     -172.752     
2160.000     573.981     2.072520e-10     -172.128     
2190.000     566.119     1.604130e-10     -171.474     
2220.000     558.468     1.192580e-10     -170.202     
2250.000     551.022     8.253710e-11     -167.832     
2280.000     543.772     5.070460e-11     -163.134     
2310.000     536.710     2.486200e-11     -149.220     
2340.000     529.829     1.155350e-11     -74.406     
2370.000     523.122     2.635060e-11     -20.070     
2400.000     516.583     4.382290e-11     -10.062     
2430.000     510.206     6.062040e-11     -6.180     
2460.000     503.984     7.540320e-11     -4.218     
2490.000     497.912     8.735460e-11     -3.048     
2520.000     491.984     9.912120e-11     -2.310     
2550.000     486.196     1.086570e-10     -1.872     
2580.000     480.543     1.155060e-10     -1.422     
2610.000     475.019     1.222140e-10     -1.104     
2640.000     469.621     1.278990e-10     -0.816     
2670.000     464.345     1.334410e-10     -0.654     
2700.000     459.185     1.385000e-10     -0.708     
2730.000     454.139     1.421660e-10     -0.570     
2760.000     449.203     1.461740e-10     -0.576     
2790.000     444.373     1.486180e-10     -0.480     
2820.000     439.645     1.514890e-10     -0.594     
2850.000     435.018     1.538480e-10     -0.342     
2880.000     430.486     1.559790e-10     -0.474     
2910.000     426.048     1.757040e-10     -0.954     
2940.000     421.701     1.782620e-10     -1.062     
2970.000     417.441     1.817290e-10     -1.002     
3000.000     413.267     1.808770e-10     -0.912     
3030.000     409.175     0.000000e+00     0.000     
