wavelength	V	wavelength	V
nm	arb. unit	nm	arb. unit
	Night		Day
380	5.89E-4	380	2E-4
385	0.001108	385	3.9556E-4
390	0.002209	390	8E-4
395	0.00453	395	0.0015457
400	0.00929	400	0.0028
405	0.01852	405	0.0046562
410	0.03484	410	0.0074
415	0.0604	415	0.011779
420	0.0966	420	0.0175
425	0.1436	425	0.022678
430	0.1998	430	0.0273
435	0.2625	435	0.032584
440	0.3281	440	0.0379
445	0.3931	445	0.042391
450	0.455	450	0.0468
455	0.513	455	0.052122
460	0.567	460	0.06
465	0.62	465	0.072942
470	0.676	470	0.09098
475	0.734	475	0.11284
480	0.793	480	0.13902
485	0.851	485	0.16987
490	0.904	490	0.20802
495	0.949	495	0.25808
500	0.982	500	0.323
505	0.998	505	0.4054
510	0.997	510	0.503
515	0.975	515	0.60811
520	0.935	520	0.71
525	0.88	525	0.7951
530	0.811	530	0.862
535	0.733	535	0.91505
540	0.65	540	0.954
545	0.564	545	0.98004
550	0.481	550	0.99495
555	0.402	555	1.0001
560	0.3288	560	0.995
565	0.2639	565	0.97875
570	0.2076	570	0.952
575	0.1602	575	0.91558
580	0.1212	580	0.87
585	0.0899	585	0.81623
590	0.0655	590	0.757
595	0.0469	595	0.69483
600	0.03315	600	0.631
605	0.02312	605	0.56654
610	0.01593	610	0.503
615	0.01088	615	0.44172
620	0.00737	620	0.381
625	0.00497	625	0.32052
630	0.003335	630	0.265
635	0.002235	635	0.21702
640	0.001497	640	0.175
645	0.001005	645	0.13812
650	6.77E-4	650	0.107
655	4.59E-4	655	0.081652
660	3.129E-4	660	0.061
665	2.146E-4	665	0.044327
670	1.48E-4	670	0.032
675	1.026E-4	675	0.023454
680	7.15E-5	680	0.017
685	5.01E-5	685	0.011872
690	3.533E-5	690	0.00821
695	2.501E-5	695	0.0057723
700	1.78E-5	700	0.004102
705	1.273E-5	705	0.0029291
710	9.14E-6	710	0.002091
715	6.6E-6	715	0.0014822
720	4.78E-6	720	0.001047
725	3.482E-6	725	7.4015E-4
730	2.546E-6	730	5.2E-4
735	1.87E-6	735	3.6093E-4
740	1.379E-6	740	2.492E-4
745	1.022E-6	745	1.7231E-4
750	7.6E-7	750	1.2E-4
755	5.67E-7	755	8.462E-5
760	4.25E-7	760	6E-5
765	3.196E-7	765	4.2446E-5
770	2.413E-7	770	3E-5
775	1.829E-7	775	2.121E-5
780	1.39E-7	780	1.4989E-5
