Diodenstrom I_D (mA),Diodenspannung V_D (mV),Optische Leistung P
0.1,1318,4.3 nW
0.2,1365,11.2 nW
0.3,1395,22.2 nW
0.4,1412,33.5 nW
0.5,1427,50.33 nW
0.6,1439,68.3 nW
0.7,1450,88.8 nW
0.8,1457,105.1 nW
0.9,1465,128.3 nW
1,1473,152.6 nW
2,1520,430.3 nW
3,1551,768.5 nW
4,1576,1114.2 nW
5,1598,1575.5 nW
6,1618,2.012 uW
7,1636,2.512 uW
8,1652,3.026 uW
9,1669,3.612 uW
10,1685,4.270 uW
11,1701,4.987 uW
12,1716,5.833 uW
13,1730,6.833 uW
14,1743,8.152 uW
15,1755,10.22 uW
16,1768,15.821 uW
17,1780,91.3 uW
18,1788,223.5 uW
19,1797,350.9 uW
20,1807,490.3 uW
21,1816,624.4 uW
22,1825,755.7 uW
23,1835,889.1 uW
24,1844,1023.5 uW
