Diodenstrom I_D (mA),Diodenspannung V_D (mV),Optische Leistung P
0.09,1368,6.03 nW
0.21,1406,14.5 nW
0.31,1433,30.35 nW
0.4,1449,46.20 nW
0.5,1461,65.23 nW
0.61,1473,88.1 nW
0.72,1482,113.3 nW
0.8,1488,133.1 nW
0.9,1496,160.9 nW
0.99,1502,185.3 nW
2,1545,506.9 nW
3,1577,914.7 nW
4,1601,1347.8 nW
5,1622,1853.1 nW
6,1642,2.434 uW
7,1660,3.04 uW
8,1679,3.8 uW
9,1695,4.6 uW
10,1711,5.6 uW
11,1727,7.0 uW
12,1741,9.5 uW
13,1754,28.2 uW
14,1763,172.6 uW
15,1772,321.1 uW
16,1781,467.4 uW
17,1791,616.8 uW
18,1801,758.6 uW
19,1810,908.5 uW
20,1820,1050 uW
